Year,CPI
1960,2.527486689
1961,2.57033297
1962,2.663692989
1963,2.742169683
1964,3.108393605
1965,3.402906395
1966,3.770483183
1967,4.262991331
1968,4.401001942
1969,4.375294079
1970,4.5980955
1971,4.739714022
1972,5.045051018
1973,5.899723828
1974,7.586970156
1975,8.023101847
1976,7.410622454
1977,8.026257698
1978,8.228764093
1979,8.745175272
1980,9.737409285
1981,11.01423164
1982,11.88333633
1983,13.29366035
1984,14.39954761
1985,15.19964756
1986,16.52653434
1987,17.98105542
1988,19.6683027
1989,21.05969351
1990,22.94900758
1991,26.13209143
1992,29.21249455
1993,31.06073709
1994,34.24382141
1995,37.74521317
1996,41.13365846
1997,44.08057745
1998,49.91280767
1999,52.24364614
2000,54.33832165
2001,56.3919261
2002,58.8151729
2003,61.05359545
2004,63.35363809
2005,66.04385126
2006,69.87209853
2007,74.32496447
2008,80.53055424
2009,89.29417338
2010,100.0
2011,108.9117934
2012,119.2355389
2013,131.1804103
2014,139.9244461
2015,146.7905015
2016,154.0540131
2017,159.1811978
2018,165.4510689
2019,171.621576
2020,182.9888226
2021,192.3787247
2022,205.2662411
2023,216.862025
