Year,Exports of Goods and Services
1960,4.463156456
1961,4.30358619
1962,4.168975283
1963,4.280503385
1964,3.725551173
1965,3.307472781
1966,4.14255066
1967,4.034444995
1968,4.038771006
1969,3.71384282
1970,3.782825062
1971,3.667205217
1972,4.027489262
1973,4.208763192
1974,4.831321003
1975,5.647062158
1976,6.686512862
1977,6.383171814
1978,6.314825235
1979,6.749638157
1980,6.139551132
1981,5.936026627
1982,5.983299849
1983,5.837629424
1984,6.283401393
1985,5.254554996
1986,5.19622166
1987,5.604580884
1988,6.035219755
1989,7.016130278
1990,7.053350234
1991,8.494240771
1992,8.842926925
1993,9.834217455
1994,9.888084916
1995,10.84396804
1996,10.38516927
1997,10.69071732
1998,11.01846918
1999,11.45206461
2000,12.99723631
2001,12.55837963
2002,14.26438392
2003,14.94791386
2004,17.85912496
2005,19.60524669
2006,21.26794142
2007,20.79969975
2008,24.09735726
2009,20.40051937
2010,22.40093325
2011,24.54041132
2012,24.53443066
2013,25.4308613
2014,22.96796301
2015,19.81318916
2016,19.15823491
2017,18.79176484
2018,19.9278286
2019,18.6642649
2020,18.68247693
2021,21.39915833
2022,23.20048784
2023,21.8482115
