Year,Nominal GDP
1960,37029883876.0
1961,39232435784.0
1962,42161481858.0
1963,48421923459.0
1964,56480289941.0
1965,59556105229.0
1966,45581230504.0
1967,50134942204.0
1968,53085455871.0
1969,58447995017.0
1970,62422483055.0
1971,67351404352.0
1972,71464700667.0
1973,85517673173.0
1974,99526597934.0
1975,98473832017.0
1976,102716000000.0
1977,121487000000.0
1978,137302000000.0
1979,152995000000.0
1980,186329000000.0
1981,193491000000.0
1982,200716000000.0
1983,218262000000.0
1984,212158000000.0
1985,232512000000.0
1986,248986000000.0
1987,279034000000.0
1988,296590000000.0
1989,296042000000.0
1990,320979000000.0
1991,270105000000.0
1992,288208000000.0
1993,279296000000.0
1994,327275000000.0
1995,360282000000.0
1996,392897000000.0
1997,415868000000.0
1998,421351000000.0
1999,458821000000.0
2000,468396000000.0
2001,485440000000.0
2002,514939000000.0
2003,607701000000.0
2004,709153000000.0
2005,820384000000.0
2006,940260000000.0
2007,1216740000000.0
2008,1198900000000.0
2009,1341890000000.0
2010,1675620000000.0
2011,1823050000000.0
2012,1827640000000.0
2013,1856720000000.0
2014,2039130000000.0
2015,2103590000000.0
2016,2294800000000.0
2017,2651470000000.0
2018,2702930000000.0
2019,2835610000000.0
2020,2674850000000.0
2021,3167270000000.0
2022,3353470000000.0
2023,3567550000000.0
